SMILES,alpha
CN1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1
c1cc2nc(-c3ccc4cn[nH]c4c3)nc(N3CCOCC3)c2s1,0
c1cc(-c2nc(N3CCOCC3)c3sccc3n2)c2cn[nH]c2c1,1
OCCN1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,1
CN1CCN(Cc2cc3nc(-c4cccc(O)c4)nc(N4CCOCC4)c3s2)CC1,1
COCCN(C)Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,1
CN(C)Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,1
Cc1csc2c(N3CCOCC3)nc(-c3cccc(O)c3)nc12,1
Cc1cc2nc(-c3cccc(O)c3)nc(N3CCOCC3)c2s1,1
COc1ccc(-c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2)cc1OC,0
Cc1cc(F)ccc1OCc1cc(C(=O)NCCO)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1OCc1cc(C(=O)NO)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1OCc1cc(C(N)=O)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1OCc1cc(C(=O)O)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1NCc1cc(CO)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1NCc1cc(C=O)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCOCC2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCNCC2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCC(O)C2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N(C)CCO)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(NCCO)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N(CCO)CCO)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2ccncc2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2cccnc2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2ccc(O)cc2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2cccc(O)c2)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2ccccc2O)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(Cl)n1,0
