SMILES,alpha,beta,delta,gamma
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CC3)C1)cc2-c1cncc(O)c1,0,1,1,0
O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,1,0,1,1
CC(=O)Nc1nc(C)c(-c2ccc(S(N)(=O)=O)cc2)s1,1,0,1,1
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(-c2cccnc2)n1,1,0,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ncccn1)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,1,1,1,1
CC(Nc1cc(F)ccc1F)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0,1,1,0
CCc1cc(-c2c[nH]c3ncc(-c4cnn(CC(C)C)c4)cc23)nc(N)n1,0,0,0,0
Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,1,1,1,1
COCC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,1,0,1,0
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,1,0,1,1
C[C@@H](Nc1cc(F)c(F)c(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,1,1,0
CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,1,1,1,1
COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,1,1,1,1
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2cc1-c1ccccn1,0,0,1,0
CCc1cc(-c2c[nH]c3ncc(-c4cn[nH]c4)cc23)nc(N)n1,0,0,0,0
Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2cccc(Cl)c2Cl)c1,1,1,1,1
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0,0,0,0
C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,0,1,1,1
CC(=O)N1CCC(n2nc(-c3ccc4oc(N)nc4c3)c3c(N)ncnc32)CC1,1,0,1,0
COCCN(CCOC)c1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1,1,1,1,1
O=S(=O)(Nc1cc(-c2ccc3nncc(-c4ccc(N5CCOCC5)nc4)c3c2)cnc1Cl)c1ccccc1,1,1,1,1
CN(C)C(=O)c1cc(CN2CCOc3c(F)cc(F)cc32)c2oc(N3CCOCC3)cc(=O)c2c1,1,1,1,1
C[C@H](Nc1ncnc(N)c1C#Cc1ccc(F)cn1)c1nc2cccc(C(F)F)c2c(=O)n1-c1cc(F)cc(F)c1,1,1,1,1
NC(=O)c1cccc2cc(C(=O)N3CCN(Cc4cc5nc(-c6cnc(N)nc6)nc(N6CCOCC6)c5s4)CC3)oc12,1,1,1,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(Cl)c1,0,1,1,0
CCN(CC)S(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0,0,0,1
CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,1,1,1,1
Cc1c(OCc2cccnc2)ccc2c(=O)nc(N3CCOCC3)oc12,1,1,0,1
Nc1ccc(-c2n[nH]c3ncnc(N)c23)cc1,0,0,0,0
CNc1ncc(-c2ccnc(N[C@H]3CC[C@H](O)CC3)n2)c(CC2CC2)n1,0,0,0,0
Nc1ccc2oc(-c3ccncc3)nc2c1,0,0,0,0
Cc1ccc(C#Cc2c(N)ncnc2N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2cc(F)cc(F)c2)nc1,1,1,1,1
O=C1CC2(CCCCC2)Cc2nc(N3CCOCC3)sc21,0,0,0,0
CCC(=O)N1CC[C@H](Oc2cnc3ccc(-c4ccc(OC)c(OC)c4)cc3n2)C1,0,0,1,0
COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cn1,0,0,1,0
COC(=O)c1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1,0,1,1
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,1,1,1,1
